Qty,Value,Device,Package,Parts,Description
2,0,R_CHIP-0603(1608-METRIC),RESC1608X60,"R9, R10",Resistor Fixed - Generic
10,0.1u,C-EUC0603,C0603,"C1, C2, C4, C5, C7, C12, C14, C17, C23, C26","CAPACITOR, European symbol"
9,0.1u,C_CHIP-0402(1005-METRIC),CAPC1005X60,"C28, C29, C30, C31, C33, C34, C35, C36, C37",Capacitor - Generic
1,100p,C-EUC0603,C0603,C27,"CAPACITOR, European symbol"
3,10k,R-EU_R0603,R0603,"R6, R28, R30","RESISTOR, European symbol"
2,10n,C-EUC0603,C0603,"C8, C9","CAPACITOR, European symbol"
1,10u,C_CHIP-0805(2012-METRIC),CAPC2012X110,C6,Capacitor - Generic
1,1k,R-EU_R0603,R0603,R5,"RESISTOR, European symbol"
2,1k,R_CHIP-0402(1005-METRIC),RESC1005X40,"R31, R32",Resistor Fixed - Generic
4,1u,C-EUC0603,C0603,"C3, C10, C13, C24","CAPACITOR, European symbol"
2,2.2u,C-EUC0603,C0603,"C38, C39","CAPACITOR, European symbol"
1,2.7n,C_CHIP-0402(1005-METRIC),CAPC1005X60,C32,Capacitor - Generic
1,20k,R-EU_R0603,R0603,R1,"RESISTOR, European symbol"
6,220,R-EU_R0603,R0603,"R2, R3, R7, R8, R21, R22","RESISTOR, European symbol"
1,4.7k,R-EU_R0603,R0603,R29,"RESISTOR, European symbol"
2,470,R-EU_R0603,R0603,"R4, R19","RESISTOR, European symbol"
12,47k,R-EU_R0603,R0603,"R11, R12, R13, R14, R15, R16, R17, R18, R24, R25, R26, R27","RESISTOR, European symbol"
1,47k,R_CHIP-0402(1005-METRIC),RESC1005X40,R33,Resistor Fixed - Generic
2,47n,C-EUC0603,C0603,"C21, C22","CAPACITOR, European symbol"
2,AD5270BRMZ-100,AD5270BRMZ-100,SOP50P490X110-10N,"U6, U8","1024-/256-Position, 1% Resistor Tolerance Error, SPI Interface and 50-TP Memory Digital Rheostat  Check prices"
1,AD5930,AD5930,TSSOP20,U1,Programmable Waveform Generator
2,AD8220ARMZ,AD8220ARMZ,MSOP8,"U2, U4","Single-Supply, Rail-to-Rail, Low Power, FET Input Op Amp"
1,ADA4841-2YRMZ,ADA4841-2YRMZ,MSOP8,U3,Ultralow Noise Amplifier at Lower Power
1,ADS901E,ADS901E,SSOP28BU,U5,"10-Bit, 20 MSPS ADC SE/Diff Inputs"
1,DEV-15583,DEV-15583,MODULE_DEV-15583,U9,RT1062 Teensy 4.0 i.MX ARM® Cortex®-M7 MPU Embedded Evaluation Board Check prices
1,HM-10,HM-10,,U10,Bluetooth to Serial Port Module Check prices
2,LED_RED,CHIP-ROUND-R_0603,LEDC1608X65N_RND-R,"D1, D2",LED - Generic
1,MOLEX_53307-1871,MOLEX_53307-1871,MOLEX_53307-1871,J1,"2x9 connector, female"
1,ECS-2520MV-500-BL-TR,ECS-2520MV-500-BL-TR,2.5X2-4-PAD,OS1,50MHz OSCILLATOR WITH OE
1,SXO22C3C381-20.000M,SXO22C3C381-20.000M,2.5X2-4-PAD,OS2,20MHz OSCILLATOR WITH OE
1,TLV73325PDBVT,TLV73325PDBVT,SOT95P280X145-5N,U7,Check prices
