C12,31.50,44.10,0.00,0.1u,C0603
C13,30.80,37.20,270.00,1u,C0603
C14,24.50,37.20,90.00,0.1u,C0603
C17,12.70,35.00,180.00,0.1u,C0603
C21,17.68,21.40,270.00,47n,C0603
C22,17.70,24.80,90.00,47n,C0603
C23,24.80,27.70,90.00,0.1u,C0603
C24,30.40,27.40,90.00,1u,C0603
C26,30.90,21.40,270.00,0.1u,C0603
C27,34.60,27.40,180.00,100p,C0603
C38,20.40,31.50,180.00,2.2u,C0603
C39,7.60,31.50,0.00,2.2u,C0603
C4,12.00,55.70,0.00,0.1u,C0603
C6,12.00,53.20,0.00,10u,CAPC2012X110
D1,7.60,50.60,0.00,LED_RED,LEDC1608X65N_RND-R
D2,7.60,48.30,0.00,LED_RED,LEDC1608X65N_RND-R
J1,11.20,23.40,180.00,MOLEX_53307-1871,MOLEX_53307-1871
R11,20.40,42.00,180.00,47k,R0603
R12,20.40,37.80,180.00,47k,R0603
R13,7.60,42.00,0.00,47k,R0603
R14,7.60,37.80,0.00,47k,R0603
R15,20.40,39.90,180.00,47k,R0603
R16,20.40,35.70,180.00,47k,R0603
R17,7.60,39.90,0.00,47k,R0603
R18,7.60,35.70,0.00,47k,R0603
R19,11.20,48.30,180.00,470,R0603
R2,28.50,37.20,270.00,220,R0603
R21,20.40,33.60,180.00,220,R0603
R22,7.60,33.60,0.00,220,R0603
R24,19.80,21.40,270.00,47k,R0603
R25,21.90,21.40,90.00,47k,R0603
R26,19.80,24.80,90.00,47k,R0603
R27,21.90,24.80,270.00,47k,R0603
R28,30.40,30.80,270.00,10k,R0603
R29,34.60,23.20,180.00,4.7k,R0603
R3,27.70,44.10,180.00,220,R0603
R30,34.60,25.30,0.00,10k,R0603
R4,11.20,50.60,180.00,470,R0603
R5,8.40,54.40,270.00,1k,R0603
R6,35.10,37.20,270.00,10k,R0603
R7,20.40,44.10,180.00,220,R0603
R8,7.60,44.10,0.00,220,R0603
TP1,13.00,59.30,0.00,TPTP20SQ,TP20SQ
TP8,10.75,59.30,0.00,TPTP20SQ,TP20SQ
U10,26.28,54.50,270.00,HM-10,HM-10
U2,26.50,41.10,90.00,AD8220ARMZ,MSOP8
U3,13.90,38.10,90.00,ADA4841-2YRMZ,MSOP8
U4,27.80,22.60,180.00,AD8220ARMZ,MSOP8
U6,32.90,41.10,0.00,AD5270BRMZ-100,SOP50P490X110-10N
U8,27.80,29.00,90.00,AD5270BRMZ-100,SOP50P490X110-10N
U9,31.35,9.40,270.00,DEV-15583,MODULE_DEV-15583
